Timestamp,Сколько вам лет?,Ваш пол,Идентификатор когорты,"Вспомните предыдущие 2-4 недели, как преимущественно распределялись ваше время и силы между:

 - Срочными задачами (требуют немедленного решения, чтобы избежать негативных последствий)
 - Важными задачами (приближают вас к долгосрочным целям, но при отсрочке не наносят немедленный вред)","Каждый день появляются незапланированные срочные задачи, которые я не могу отложить","Я не могу отвести время на важное, потому что оно полностью занято срочным","Я в большей степени тушу кризисы, чем их предотвращаю","Мне трудно видеть прогресс в важных проектах, потому что до них редко доходит очередь",К концу дня у меня почти нет энергии на важное,"Я чувствую, что мои ресурсы (время и энергия) исчерпываются на срочное",Лежа в постели не пользоваться устройствами с экранами,Две минуты ничего не делать,Разгрузить свою память,Отделять задачи от проектов и идей,"Делать задачи ТОЛЬКО записанные в список (записываем, перед тем, как сделать)","Формулировать задачи ""как для обезьянки""","Поковырять задачи в ""Позже""",Отключать средства коммуникации на время сосредоточенной работы (блоки тишины),Провести утро без смартфона,Выполнить хотя бы одну задачу из списка до проверки почты / чатов / новостей,Я составляю план на день,Сходить на тренировку и позаниматься спортом,Я подвожу итоги дня,Во время работы прятать смартфон от самого себя (не держать его на виду),Я составляю план на неделю,Закрыть ненужные вкладки в браузере,Я смотрю / корректирую свой план на неделю,"Интернет-шаббат: провести день, не прикасаясь к устройствам, способным соединяться с интернетом",Я подвожу итоги недели,Порадовать свою обезьянку,Увидеть дно инбокса,Выполнить задачу из списка до контакта с внешним миром,Соотнести список своих задач со списком своих целей / хотелок,"Выполнить ""зеленую"" задачу","Выполнить ""зеленую"" задачу ДО проверки чатов / почты / новостей и прочего интернета",Пользоваться смартфоном в туалете,Провести N-минут в инкубаторе идей,Посмотреть в свой список задач просто с целью выкинуть оттуда что-то ненужное,Провести 15 минут наедине со своими мыслями,Вести лог дня (дневник),Провести день стесняясь смартфона,Установить фильтр синего (ночной режим или режим чтения) на экранах,Провести ревизию спального места на предмет светового шума,"Установить автоматический (по расписанию) режим ""не беспокоить"" на смартфоне (минимум на 8 часов в день)",Удалить приложения социальных сетей со своего смартфона,Отключить красные кружочки на иконках приложений в смартфоне,Установить плагины и настройки против рекламных баннеров,Отключить оповещения о новых сообщениях в чатах,Отключить оповещения о новых сообщениях в электронной почте,"Отключить push-оповещения от приложений в смартфоне (соцсети, магазины, заправки)",Отключить оповещения на смарт-часах,Настроить автоматическое отмечание входящих писем в электронной почте прочитанными,Как вы работаете с личными и рабочими задачами?,Какие инструменты вы используете для управления списком задач,К какому хронотипу вы себя относите?,На сколько удачливым человеком вы себя считаете?,"Как вы думаете, что сейчас является ограничением вашей продуктивности?",MIJS-2,"В среднем, сколько дней в неделю вы работаете в офисе, а сколько удаленно?"
18/02/2026 16:49:42,44,М,CORP_GRP,"Большую часть трачу на срочные дела, но небольшую часть стабильно посвящаю важным",2,3,3,4,5,4,Иногда (1-2 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Практически всегда (5+ дней в неделю),Часто (3-4 раза в неделю),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Никогда или крайне редко,Никогда или крайне редко,,Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Часто (3-4 раза в неделю),Никогда или крайне редко,Постоянно (каждую неделю),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Никогда или крайне редко,Редко (раз в 1-2 месяца),Никогда или крайне редко,Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Часто (3-4 раза в неделю),Никогда или крайне редко,Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Никогда или крайне редко,Применил(а) с небольшими исключениями,Не применил(а),Применил(а) по максимуму,"Применил(а), но не полностью",Применил(а) по максимуму,Не применил(а),Применил(а) с небольшими исключениями,Применил(а) по максимуму,Применил(а) по максимуму,У меня этого нет,Применил(а) с небольшими исключениями,Я веду личные и рабочие задачи в одном списке,Электронные (приложение),Утренний тип (Жаворонок): пик активности утром и снижается к вечеру,5,моя лень и культура работодателя,15,1 день в неделю - удаленно
18/02/2026 16:57:06,45,Ж,DEMO_GRP,Я распределяю свои силы и время примерно поровну на важное и на срочное,3,3,3,2,3,2,Никогда или крайне редко,Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),,Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Редко (раз в 1-2 месяца),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) с небольшими исключениями,Не применил(а),Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) по максимуму,У меня этого нет,Не применил(а),Я веду личные и рабочие задачи в одном списке,Электронные + Блокнот,"Дневной тип (Орел): пик активности - день, утром и вечером - спад",5,"плохо отдыхала в течении дня, прокрастинировала. Отчасти из-за усталости, отчасти из-за не обезьяноподобных задач",10,Я работаю в офисе (удаленная работа - это исключение)
18/02/2026 17:14:45,51,М,CORP_GRP,"Большую часть трачу на срочные дела, но небольшую часть стабильно посвящаю важным",4,2,4,3,5,4,Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Практически всегда (5+ дней в неделю),,Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Иногда (1-2 раза в месяц),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Никогда или крайне редко,Иногда (1-2 раза в месяц),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,"Применил(а), но не полностью","Применил(а), но не полностью","Применил(а), но не полностью",Применил(а) по максимуму,"Применил(а), но не полностью","Применил(а), но не полностью",Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Применил(а) по максимуму,Я веду личные и рабочие задачи в одном списке,Электронные (приложение),Утренний тип (Жаворонок): пик активности утром и снижается к вечеру,5,"Недостаток сна, отсутствие жёсткого режима отдыха",13,Я работаю в офисе (удаленная работа - это исключение)
18/02/2026 17:16:35,38,Ж,CORP_GRP,"Практически всё уходит на срочные задачи, важному уделяю внимание мало и редко",5,5,5,4,5,5,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),,Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Постоянно (каждую неделю),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Иногда (1-2 раза в месяц),Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Практически всегда (5+ дней в неделю),Никогда или крайне редко,Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Применил(а) по максимуму,Применил(а) с небольшими исключениями,Применил(а) по максимуму,Не применил(а),Не применил(а),Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Не применил(а),Я веду личные и рабочие задачи в одном списке,Электронные + Блокнот,Вечерний тип (Сова): утром самый низкий уровень активности и плавно разгоняюсь к вечеру,5,"Ведомость на панику при влетающих запросах. Необходим период охлаждения для адекватной оценки ценности и срочности задачи, но на эмоциях это сложно сделать.",19,Я работаю удаленно (выезд в офис - это исключение)
18/02/2026 17:20:19,31,М,DEMO_GRP,"Большую часть трачу на срочные дела, но небольшую часть стабильно посвящаю важным",4,4,3,5,5,4,Никогда или крайне редко,Иногда (1-2 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Редко (несколько раз в месяц),,Никогда или крайне редко,Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Часто (3-4 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Применил(а) по максимуму,"Применил(а), но не полностью",Применил(а) по максимуму,Не применил(а),Не применил(а),Применил(а) с небольшими исключениями,Применил(а) по максимуму,Применил(а) по максимуму,"Применил(а), но не полностью",Применил(а) с небольшими исключениями,Не применил(а),Я веду личные и рабочие задачи в одном списке,Электронные (приложение),Утренний тип (Жаворонок): пик активности утром и снижается к вечеру,5,"Мои когнитивные способности, мыслетопливо. Давно надо в отпуск",17,Я работаю в офисе (удаленная работа - это исключение)
18/02/2026 17:27:48,47,М,DEMO_GRP,"Большую часть я посвящаю важному, на срочные задачи сил и времени уходит не много",2,1,1,1,1,2,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Практически всегда (5+ дней в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),,Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Редко (несколько раз в месяц),Часто (3-4 раза в месяц),Часто (3-4 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Часто (3-4 раза в неделю),Никогда или крайне редко,Часто (3-4 раза в неделю),Никогда или крайне редко,Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Применил(а) по максимуму,Не применил(а),Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Применил(а) по максимуму,Применил(а) с небольшими исключениями,Применил(а) по максимуму,Применил(а) по максимуму,Я веду личные и рабочие задачи в одном списке,Электронные (приложение),Утренний тип (Жаворонок): пик активности утром и снижается к вечеру,7,Говорит нет,6,Я работаю удаленно (выезд в офис - это исключение)
18/02/2026 17:58:11,43,М,MAX,"Практически всё уходит на срочные задачи, важному уделяю внимание мало и редко",4,4,4,3,5,5,Часто (3-4 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Редко (раз в 1-2 месяца),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Применил(а) по максимуму,Применил(а) с небольшими исключениями,Не применил(а),Не применил(а),"Применил(а), но не полностью",Применил(а) с небольшими исключениями,"Применил(а), но не полностью",Не применил(а),Применил(а) с небольшими исключениями,Применил(а) по максимуму,Не применил(а),Я веду личные и рабочие задачи в одном списке,Электронные + Блокнот,Вечерний тип (Сова): утром самый низкий уровень активности и плавно разгоняюсь к вечеру,5,"Большой поток входящих задач, гос. сектор это беда для реализации личной продуктивности)))",17,Я работаю в офисе (удаленная работа - это исключение)
18/02/2026 18:01:12,38,Ж,MAX,"Большую часть трачу на срочные дела, но небольшую часть стабильно посвящаю важным",3,2,4,3,5,3,Никогда или крайне редко,Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Иногда (1-2 раза в неделю),,Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Часто (3-4 раза в неделю),Никогда или крайне редко,Иногда (1-2 раза в месяц),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Редко (раз в 1-2 месяца),Никогда или крайне редко,Часто (3-4 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Иногда (1-2 раза в неделю),Никогда или крайне редко,Иногда (1-2 раза в неделю),Часто (3-4 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Применил(а) по максимуму,Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Не применил(а),"Применил(а), но не полностью",Применил(а) с небольшими исключениями,"Применил(а), но не полностью","Применил(а), но не полностью","Применил(а), но не полностью",Не применил(а),Я веду личные и рабочие задачи в одном списке,Электронные (приложение),Умеренно-активный тип (Утка): весь день умеренно активный,3,,12,2 дня в неделю - удаленно
18/02/2026 18:05:28,36,М,MAX,"Большую часть трачу на срочные дела, но небольшую часть стабильно посвящаю важным",4,3,4,3,3,2,Практически всегда (5+ дней в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,,Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Редко (раз в 1-2 месяца),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Практически всегда (5+ дней в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Никогда или крайне редко,Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Применил(а) по максимуму,Не применил(а),Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) с небольшими исключениями,Применил(а) по максимуму,Применил(а) по максимуму,"Применил(а), но не полностью",Применил(а) по максимуму,Я веду личные и рабочие задачи в одном списке,Электронные (приложение),Утренний тип (Жаворонок): пик активности утром и снижается к вечеру,5,"По некоторым практикам хотелось бы уточнения - каждый день делать, или иногда, например насчёт побыть со своими мыслями 15 минут)",12,Я работаю удаленно (выезд в офис - это исключение)
18/02/2026 18:07:31,40,Ж,CORP_GRP,"Практически всё уходит на срочные задачи, важному уделяю внимание мало и редко",3,3,2,3,3,3,Часто (3-4 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Иногда (1-2 раза в неделю),,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Часто (3-4 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Не применил(а),Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,"Применил(а), но не полностью",Не применил(а),Применил(а) с небольшими исключениями,"Применил(а), но не полностью",Не применил(а),У меня этого нет,Не применил(а),Я разделяю личные и рабочие задачи в разных списках,Бумажный блокнот,Умеренно-активный тип (Утка): весь день умеренно активный,4,апатия и постоянная физическая усталость,14,Я работаю удаленно (выезд в офис - это исключение)
18/02/2026 18:21:48,42,М,MAX,Я распределяю свои силы и время примерно поровну на важное и на срочное,3,1,3,5,4,3,Никогда или крайне редко,Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Практически всегда (5+ дней в неделю),Иногда (1-2 раза в неделю),Практически всегда (5+ дней в неделю),Никогда или крайне редко,Иногда (1-2 раза в неделю),Практически всегда (5+ дней в неделю),,Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Редко (раз в 1-2 месяца),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Часто (3-4 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Практически всегда (5+ дней в неделю),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Часто (3-4 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,"Применил(а), но не полностью",Применил(а) по максимуму,Применил(а) по максимуму,Не применил(а),Не применил(а),"Применил(а), но не полностью",Применил(а) с небольшими исключениями,Применил(а) по максимуму,Не применил(а),"Применил(а), но не полностью",Применил(а) по максимуму,Я разделяю личные и рабочие задачи в разных списках,Электронные (приложение),"Сонливый днем тип (Цапля): пик активности утром и вечером, а днем спад",4,Желание за все хвататься.,12,Я работаю удаленно (выезд в офис - это исключение)
18/02/2026 18:26:12,42,Ж,MAX,"Большую часть трачу на срочные дела, но небольшую часть стабильно посвящаю важным",4,4,4,5,5,4,Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Редко (несколько раз в месяц),,Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Часто (3-4 раза в месяц),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Никогда или крайне редко,Иногда (1-2 раза в месяц),Иногда (1-2 раза в неделю),Никогда или крайне редко,Иногда (1-2 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Редко (несколько раз в месяц),Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) по максимуму,"Применил(а), но не полностью","Применил(а), но не полностью",Применил(а) с небольшими исключениями,Применил(а) по максимуму,Применил(а) с небольшими исключениями,"Применил(а), но не полностью","Применил(а), но не полностью",Не применил(а),Я веду личные и рабочие задачи в одном списке,Электронные + Блокнот,Умеренно-активный тип (Утка): весь день умеренно активный,4,"Специфика работы: частые отвлечения не по моей инициативе, частые «горящие» задачи",17,Я работаю в офисе (удаленная работа - это исключение)
18/02/2026 18:30:30,41,М,MAX,"Большую часть я посвящаю важному, на срочные задачи сил и времени уходит не много",1,2,1,3,2,2,Редко (несколько раз в месяц),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Практически всегда (5+ дней в неделю),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Никогда или крайне редко,,Иногда (1-2 раза в неделю),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Практически всегда (5+ дней в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Часто (3-4 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Иногда (1-2 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Применил(а) по максимуму,Применил(а) с небольшими исключениями,Применил(а) по максимуму,Не применил(а),Применил(а) с небольшими исключениями,Применил(а) по максимуму,Применил(а) с небольшими исключениями,Применил(а) по максимуму,Применил(а) по максимуму,У меня этого нет,Не применил(а),Я веду личные и рабочие задачи в одном списке,Электронные (приложение),"Сонливый днем тип (Цапля): пик активности утром и вечером, а днем спад",3,"Ограничение продуктивности: опять стать продуктивным, опять получить высокое ожидание к своей продуктивности и опять загнать себя в выгорание",9,Я нигде НЕ РАБОТАЮ
18/02/2026 18:32:29,35,М,MAX,"Большую часть я посвящаю важному, на срочные задачи сил и времени уходит не много",2,2,4,2,5,2,Никогда или крайне редко,Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Никогда или крайне редко,,Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Часто (3-4 раза в месяц),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Никогда или крайне редко,Часто (3-4 раза в месяц),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Практически всегда (5+ дней в неделю),Никогда или крайне редко,Часто (3-4 раза в неделю),Практически всегда (5+ дней в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Применил(а) по максимуму,Применил(а) по максимуму,"Применил(а), но не полностью","Применил(а), но не полностью",Применил(а) по максимуму,"Применил(а), но не полностью",Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) по максимуму,У меня этого нет,Применил(а) по максимуму,Я веду личные и рабочие задачи в одном списке,Электронные (приложение),Вечерний тип (Сова): утром самый низкий уровень активности и плавно разгоняюсь к вечеру,5,Депрессия,8,Я работаю удаленно (выезд в офис - это исключение)
18/02/2026 18:50:56,43,М,MAX,"Большую часть трачу на срочные дела, но небольшую часть стабильно посвящаю важным",3,3,2,2,4,4,Иногда (1-2 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),,Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Применил(а) по максимуму,Применил(а) с небольшими исключениями,Не применил(а),Не применил(а),Применил(а) с небольшими исключениями,"Применил(а), но не полностью",Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Применил(а) по максимуму,Не применил(а),Я веду личные и рабочие задачи в одном списке,Электронные + Блокнот,Утренний тип (Жаворонок): пик активности утром и снижается к вечеру,4,"Лень, нужно чтобы было кто-то, кому есть дело до моей продуктивности",13,Я работаю в офисе (удаленная работа - это исключение)
18/02/2026 19:03:05,38,М,DEMO_GRP,"Большую часть я посвящаю важному, на срочные задачи сил и времени уходит не много",3,3,3,4,5,3,Часто (3-4 раза в неделю),Практически всегда (5+ дней в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Практически всегда (5+ дней в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Практически всегда (5+ дней в неделю),,Практически всегда (5+ дней в неделю),Редко (несколько раз в месяц),Практически всегда (5+ дней в неделю),Никогда или крайне редко,Никогда или крайне редко,Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Постоянно (каждую неделю),Практически всегда (5+ дней в неделю),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Редко (несколько раз в месяц),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Практически всегда (5+ дней в неделю),Часто (3-4 раза в неделю),Никогда или крайне редко,Применил(а) по максимуму,"Применил(а), но не полностью",Не применил(а),Применил(а) по максимуму,"Применил(а), но не полностью","Применил(а), но не полностью",Применил(а) по максимуму,"Применил(а), но не полностью","Применил(а), но не полностью","Применил(а), но не полностью",Не применил(а),Я веду личные и рабочие задачи в одном списке,Электронные + Блокнот,Высокоактивный тип (Голубь): активен целый день,6,Режим сна,12,Я работаю удаленно (выезд в офис - это исключение)
18/02/2026 19:08:37,40,М,VK,Я распределяю свои силы и время примерно поровну на важное и на срочное,5,1,1,4,4,2,Никогда или крайне редко,Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Часто (3-4 раза в неделю),,Никогда или крайне редко,Иногда (1-2 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Практически всегда (5+ дней в неделю),Никогда или крайне редко,Никогда или крайне редко,Часто (3-4 раза в месяц),Часто (3-4 раза в неделю),Практически всегда (5+ дней в неделю),Никогда или крайне редко,Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Никогда или крайне редко,Никогда или крайне редко,Иногда (1-2 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Применил(а) с небольшими исключениями,"Применил(а), но не полностью",Применил(а) по максимуму,"Применил(а), но не полностью",Применил(а) по максимуму,Не применил(а),Применил(а) с небольшими исключениями,Не применил(а),Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Не применил(а),Я нигде не веду личные задачи (что надо - помню),Электронные (приложение),"Дневной тип (Орел): пик активности - день, утром и вечером - спад",6,"Было бы круто работать в офисе. Но любимая команда в Москве и Белграде, а любимые родственники в Омске. Так что разрываюсь немного.",10,Я работаю удаленно (выезд в офис - это исключение)
